Competency domain,Focus Areas,Resource title,URL,Platform / host,Resource type,Stated learning outcomes,Stated prerequisites,Length (mins),Indicated level,Intended audience,Format type (passive / interactive),Publication date,Last updated,Captions / transcripts,Mobile accessible,Skill area,Student journey stage,Comments,Faculty comments,Faculty initials
,,STEM Readiness,https://oli.cmu.edu/courses/stem-readiness-open-free/,OLI,Online course,"By the end of this unit, students will be able to:

Apply arithmetic operations to whole numbers, decimals, fractions, and negative values, selecting appropriate operators and rounding results as needed.

Convert and relate numerical forms, including fractions, decimals, percents, scientific notation, and basic algebraic expressions.

Apply measurement concepts and calculations, including perimeter, area, volume, unit conversions, significant digits, and appropriate use of measurement tools.

Use algebraic laws and properties to simplify expressions, apply exponents, substitute values, and solve basic equations.

Rearrange and solve simple algebraic equations to isolate variables using one-step operations and cross-products.

Analyze and quantify data, including calculating mean, median, and mode, creating graphs, and interpreting charts, graphs, and diagrams.

Apply mathematical reasoning and critical thinking to real-world problems and evaluate the validity of results.",,15 hours,Beginner,"For students who want to refresh of a 
core skill related to STEM careers: 
Mathematics from arithmetic to beginning algebra.",Interactive,,,,Yes,Other (Specify in the 'Comments' column),Pre-arrival," this course  allows a student to explore and develop the mathematics, critical thinking, workplace communication, and professionalism skills that are used in the types of jobs that a student will be moving into.",,
,,Electric Vehicle Technology — NSC STEM Pathways,https://oli.cmu.edu/courses/electric-vehicle-technology-nsc-stem-pathways-open-free/,OLI,Online course,"By the end of this pathway, students will be able to:

Apply foundational principles of chemistry and physics to energy storage, electrical behavior, and power transfer in electric vehicle systems.

Measure, analyze, and interpret mechanical and electrical values using appropriate tools, units, and mathematical techniques.

Identify and explain the components and operation of electric, hybrid, and internal combustion vehicle systems, including propulsion, power electronics, motors, and engines.

Analyze electrical and electronic circuits using DC and AC principles, Ohm’s Law, power transfer concepts, and RCL analysis.

Apply digital logic, numbering systems, and data analysis concepts used in vehicle control systems, sensors, and diagnostics.

Demonstrate safe work practices when working with high-voltage, electronic, and hybrid/electric vehicle components.

Explain energy conversion and alternative energy technologies, including renewable systems and fuel cells.

Use software and control tools to analyze, debug, and support vehicle and industrial control systems.",,1 year,,,Interactive,,Aug 2015,,,,,,,
,Simulation and Modelling,Monte Carlo simulations with AI,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Problem-solving, analytical and critical thinking",,Argument Diagramming,https://oli.cmu.edu/courses/argument-diagramming-open-free/,OLI,Online course,"This unit covers the technical skills required to construct argument diagrams using software, including mapping complex structures, linked premises, and implied claims. Students will learn to evaluate arguments for validity and strength using deductive and non-deductive reasoning. Finally, the material applies these skills to analyze public arguments by identifying rhetorical elements and diagramming longer texts.",,2 weeks,Not Stated,,Interactive,,Aug 2011,,Yes,,,,,
,,Logic & Proofs,https://oli.cmu.edu/courses/logic-proofs/,OLI,Online course,"This course provides a comprehensive foundation in formal logic, beginning with the core concepts of statements and arguments before progressing through the syntax, semantics, and proof systems of sentential logic. Students develop the ability to symbolize natural language into logical formulae, construct truth tables, and build formal derivations using inference rules. The course then extends these skills into predicate logic, where students learn to handle quantifiers, variables, and more complex logical structures. Advanced topics including identity, functions, and metamathematical concepts round out the course, equipping students with rigorous tools for logical analysis and proof construction.",,One semester,Not Stated,,Interactive,,,,Yes,"Apply logical and critical thinking to evaluate evidence, assumptions, and implications of academic arguments and engineering decisions.",Pre-arrival,Has a cost attached to it,,
,,Public Policy Analysis for Engineers,https://oli.cmu.edu/courses/public-policy-analysis-for-engineers-open-free/,OLI,Online course,"This course equips students with the tools to conduct structured public policy analysis in engineering and technology contexts. Students learn to assess the accuracy and completeness of policy-relevant information, develop neutral policy questions, and evaluate competing solutions against criteria of effectiveness, efficiency, equity, and political acceptability. The course applies these skills consistently across a range of real-world engineering domains including cybersecurity, renewable energy, electric vehicles, and water desalination, bridging the gap between technical expertise and policy decision-making.",,3 hours,Not Stated,,Interactive,,March 2017,,Yes,"Anticipate and mitigate potential issues related to usability, security, and ethics in problem-solving.",Ongoing study,,,
,,Responsible Computing,https://oli.cmu.edu/courses/responsible-computing/,OLI,Online course,"By the end of this course, students will have a working knowledge of the rules and standards of CMU’s academic community, with regard to its computing assets. They will learn to:

develop strong learning strategies for Responsible Computing and other online courses.
recognize appropriate and inappropriate behavior with regard to use of CMU computing resources.
identify risks to their personal information and resources.
utilize academic spaces, software, and equipment appropriate to a variety of situations.
locate and operate useful tools and resources on the University Libraries website.
search effectively for information on the Web and in academic databases.",,Half a semester,Not Stated,,Interactive,,January 2018,,Yes,"Anticipate and mitigate potential issues related to usability, security, and ethics in problem-solving.",Pre-arrival,,,
,,A Framework for Constructive Replication in the Organizational Sciences,,CARMA,Lecture,,,,,,,,,,,,,,,
,,A Framework for Methodologically Rigorous Review Articles,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Addressing the “Too Much Theory” Problem in Management Research,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Basics of Research Methods Collection,,CARMA,Lecture,,,,,,,,,,,,,,,
,,"Best-Practice Recommendations for Producers, Evaluators, and Users of Methodological Literature Reviews",,CARMA,Lecture,,,,,,,,,,,,,,,
,,Understanding and Detecting Careless Responding in Survey Research,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Causal Identification through a Cumulative Body of Research in the Study of Strategy and Organizations,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Causal Indicators and Measurement Models,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Coding for Discovery,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Common Method Bias,,CARMA,Lecture,,,,,,,,,,,,,,,
,,"A Tutorial on the Causes, Consequences, and Remedies for Common Method Biases",,CARMA,Lecture,,,,,,,,,,,,,,,
,,Confirmatory Factor Analysis Application with R-lavaan,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Construct Mixology: Forming New Management Constructs by Combining Old Ones,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Content Analysis for Macro Research,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Continuum Specification in Construct Validation: A Proposal and Call for Research,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Dirty Data,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Variation into Elevation: Diversity Paradigms for Explaining Team and Organizational Outcomes,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Effect Sizes for Categorical Moderation,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Electronic Confederates in Experimental Research,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Event Sampling Methods,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Extending Methods for Integrating Moderation and Mediation,,CARMA,Lecture,,,1 hr,,,,,,,,,,,,
,,Grounded Theory/Discourse Analysis,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Insufficient Effort Responding: Impact in Survey Data and Approaches for Detection,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Interactions in Latent Variable Models,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Interpreting Interaction Effects,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Interpreting Results with Practical Significance in Mind: An Overview of the Common Language Effect Size Indices,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Introduction to Casual Mediation Analysis,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Joy of Coding Data,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Latent Difference Score Models,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Longitudinal Structural Equation Modeling,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Conducting Meta-Analytic Structural Equation Modeling with R,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Mixed Methods in Strategy and Organizations Research,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Mixing and Matching Methods for Purpose,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Modern Prediction Methods,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Multiple Imputation for Complex Organizational Data Structures,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Multiple Linear Regression,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Multiple Linear Regression: Strengthening Conceptual Knowledge and Practical Skills,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Multiverse Analysis,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Network Analysis,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Null Hypothesis Testing,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Omitted Variable Bias,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Panel Data,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Panel Data: Methodological Framework and Analytic Tools,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Parcel Indicators in SEM,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Partial Least Squares Structural Equation Modeling,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Power Analysis with Regression Models: Sample Size Planning for Power and Accuracy,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Process Research,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Qualitative Data Analysis Beyond Templates,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Quantifying Content Validity,https://carmattu.com/video-library/quantifying-content-validity/,CARMA,Lecture,"By the end of this lecture, students should be able to:

Define content validity and distinguish it from other forms of validity to establish its importance in research.

Design a content validation study by selecting appropriate judges and structuring surveys to gather expert feedback.

Apply quantitative metrics to evaluate how well scale items match their intended definitions and distinguish them from related concepts.","A background in psychometrics and statistics, referencing concepts like Confirmatory Factor Analysis and Analysis of Variance ",90 minutes,Not Stated,Academic researchers,passive,"April 13th, 2021",,No,No,"Apply logical and critical thinking to evaluate evidence, assumptions, and implications of academic arguments and engineering decisions.",Ongoing study,The presentation is a workshop companion to the Colquitt et al. (2019) paper on Content Validation Guidelines. It utilizes a continuous Running Example of a construct called Scholarly Orientation to demonstrate concepts.,,
,,"Recommendations for Discouraging, Identifying, and Removing Dirty Data in Survey Research",https://carmattu.com/video-library/recommendations-for-discouraging-identifying-and-removing-dirty-data-in-survey-research/,CARMA,Lecture,,,75 minutes ,Not Stated,,passive,"October 4th, 2019",,No,No,"Apply logical and critical thinking to evaluate evidence, assumptions, and implications of academic arguments and engineering decisions.",Ongoing study,,,
,,Reflexivity in Research Methods: Boundary Theory and the Researcher Role Continuum,,CARMA,Lecture,"By the end of this lecture, students should be able to:

Define reflexivity and positionality to articulate how a researcher's identity and biases influence the research process.

Apply the Researcher Role Continuum to categorize their own position (e.g., Outsider, Insider, Liminal) relative to their study participants.

Analyze the boundaries between their personal and professional identities to manage potential spillover and ethical challenges in fieldwork.","The content assumes familiarity with qualitative research methods, identity theory, and boundary theory.",60 minutes ,Not Stated,Qualitative researchers,passive,"October 23rd, 2020",,No,No,"Apply logical and critical thinking to evaluate evidence, assumptions, and implications of academic arguments and engineering decisions.",Ongoing study,"This lecture utilizes the ""Researcher Role Continuum"" and boundary theory to help scholars examine how their personal identities and positionality inescapably influence their research process.",,
,,Restricted Variance Interactions,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Rethinking the Qualitative Research Methods Section,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Rigor/Trustworthiness in Qualitative Research,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Scale Adaptation in the Organizational Sciences,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Structural Equation Models for Experimental Designs,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Structural Equation Models for Cooperative Small Group Context: The Interplay of Theory and Method in Goal-Directed Behavior,,CARMA,Lecture,,,,,,,,,,,,,,,
,,On the Use of Spline Regression in the Study of Congruence in Organizational Research,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Survey Measurement Collection,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Testing Causal Hypotheses: Precisely Formulating Causal Hypotheses to Maximize Testability,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Text Mining in the Organizational Sciences,,CARMA,Lecture,,,,,,,,,,,,,,,
,,The Power of Tools in Qualitative Analysis,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Verifying Empirical Research Findings,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Video-Based Research Methods,,CARMA,Lecture,,,,,,,,,,,,,,,
,,The Promise and Perils of Wearable Sensors in Organizational Research,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Writing Our Way out of the Reliability Crisis in Strategy,,CARMA,Lecture,,,,,,,,,,,,,,,
,,Analyzing and Interpreting Quantitative Data,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Critical Reading and Writing,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Critical Thinking,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Ethnography for Beginners,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Finding and Avoiding Mistakes in Research,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Fundamentals of Quantitative Text Analysis,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Know Your Numbers,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Research Design in Social Data Science,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Research Question,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Sampling for Beginners,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,See Numbers in Data,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Statistical Significance,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Synthesizing Data and Writing Up a Systematic Review,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Unlocking Statistics: From Hypothesis to Outcome,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Using Large Datasets for Research,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Cyber Intelligence for Decision Makers,,Software Engineering Institute (SEI),Online course,,,,,,,,,,,,,,,
,,Examination of Software Architecture: Principles and Practices,,Software Engineering Institute (SEI),Online course,,,,,,,,,,,,,,,
,,Fundamentals of Statistics Applied to Cybersecurity,,Software Engineering Institute (SEI),Online course,,,,,,,,,,,,,,,
,,Software Architecture: Principles and Practices,,Software Engineering Institute (SEI),Online course,,,,,,,,,,,,,,,
,,"Understanding Software Architecture, Quality, and Security Through Code Analysis",,Software Engineering Institute (SEI),Online course,,,,,,,,,,,,,,,
,,,,LinkedIn Learning,Online course,,,,,,,,,,,,,,,
Communication and information literacy,,Information & Data Literacy,https://canvas.cmu.edu/courses/48120/pages/information-and-data-literacy?module_item_id=6213115,Core@CMU,Online module,"Identification, definition, and navigation of the data and information landscape
In order to make sense of the sheer volume of data and information at our disposal, we need to be able to identify, define, and navigate the contemporary information and data landscape. With the rising prominence of Generative Artificial Intelligence (Generative AI) within this landscape, this necessarily includes information-generating tools.

Critical evaluation of data and information
In today’s digital world, we are inundated with data and with the information, disinformation, and misinformation that result when we (mis)interpret them. We need to be able to critically evaluate data sources and collection, how data are presented, and possible limitations on their use.  Using trusted and emerging methods for critical evaluation facilitate scholarly and professional contributions and allow us to be informed and productive members of society.

Data analysis and information engagement in and across communities of practice
Regardless of their major, all students should have a basic understanding of data and data analysis across disciplinary perspectives. This includes an awareness of foundational frameworks that are used in quantitative data analyses at a conceptual level. Additionally, students should be aware of the affordances and basic approaches to qualitative data analysis, which use thematic and interpretive methods to reveal trends and relationships in text-based or image-based data.

Managing the data and information ecosystem consistent with laws, policies, and ethical practices
The processes of obtaining and analyzing data/information and subsequently reporting and documenting the results of those analyses carry with them an obligation for ethical handling and management. Familiarity with the context in which the data and information was previously collected, has previously or is currently being used, and how it should be stored once analysis is complete is a key component of this competency domain.","The ability to read, analyze, and communicate with data, and to make decisions and discern meaning",,Not Stated,Current and prospective students at Carnegie Mellon University (CMU).,Interactive,,,No,Yes,"Locate relevant academic and professional information sources and evaluate their quality, reliability, and relevance.",Pre-arrival,"This course provides essential skills for navigating today’s information-rich and data-driven world. It helps students learn how to identify, evaluate, analyze, and responsibly use information and data across disciplines. By emphasizing critical thinking, ethical practices, and practical data engagement, the course prepares students to become informed professionals, responsible citizens, and lifelong learners.",,
,,Reading to Write: Research Articles Across the Disciplines,https://oli.cmu.edu/courses/reading-to-write-research-articles-across-the-disciplines/,OLI,Online course,"By the time they finish this course, learners will learn or be able to:

Read a research article in their discipline effectively.
Deconstruct a research article in their preferred journal.
Recognize and label the individual segments that are used to construct a research article.
Understand the grammatical, lexical, and citation choices made by research article authors.
Make discipline and journal appropriate choices regarding the writing of their own research articles.",,12 hours,Not Stated,Graduate students and highly motivated undergraduate students ,Interactive,,February 2025,No,No,"Locate relevant academic and professional information sources and evaluate their quality, reliability, and relevance.",Pre-arrival,"This course provides valuable training in how to engage deeply with scholarly research within one’s discipline. By teaching students how to locate target journals and systematically analyze research articles section by section, it strengthens both critical reading and analytical skills. The structured breakdown of introductions, methods, results, and discussions helps students understand not only the content of research but also the conventions, language choices, and expectations of high-quality academic writing. Overall, the course is highly practical and prepares students to become more effective researchers and future contributors to academic publications.",,
,,Evidence Synthesis for Librarians and Information Specialists,https://oli.cmu.edu/courses/evidence-synthesis-for-librarians-and-information-specialists-o-f/,OLI,Online course,"By the time they finish this course, learners will learn or be able to:

Utilize the basics of evidence synthesis when performing research or collaborating with researchers
Express the value of evidence synthesis principles in performing research
Strengthen their skills as library professionals when collaborating with a variety of stakeholders, such as learners and researchers",,14 hours,Intermediate,Graduate students and highly motivated undergraduate students ,Interactive,,June 2024,No,No,"Locate relevant academic and professional information sources and evaluate their quality, reliability, and relevance.",First semester,"This course provides structured, practical training in conducting evidence synthesis and systematic reviews. By guiding learners through the full review process from understanding review types to developing rigorous search strategies and writing a publishable methods section; it builds strong research and information literacy skills. Its modular, self-paced format makes it accessible while maintaining a clear focus on methodological rigor and scholarly standards.",,
,,Systematic Reviews and Meta-Analysis: A Campbell Collaboration Online Course,https://oli.cmu.edu/courses/systematic-reviews-and-meta-analysis/,OLI,Online course,"The course provides a general overview of all aspects of a scientific literature review, including formulating a problem, finding the relevant literature, coding studies, and meta-analysis. It follows guidelines and standards developed by the Campbell Collaboration, based on empirical evidence about how to produce the most comprehensive and accurate reviews of research. It will help students prepare systematic reviews that include meta-analysis.",Introductory graduate-level training in research methodology and statistics,,,"Graduate students, post-doctoral fellows, faculty members, senior researchers in higher education institutions.",Interactive,,February 2023,No,No,"Locate relevant academic and professional information sources and evaluate their quality, reliability, and relevance.",Ongoing study,"This course offers a rigorous and well-structured introduction to systematic reviews and meta-analysis, grounded in established evidence-based guidelines. It emphasizes methodological rigor, bias reduction, and proper synthesis of research findings, making it highly valuable for advanced academic and research work. The focus on both conceptual understanding and statistical tools ensures that participants develop practical skills applicable to high-quality scholarly research.",,
,,Visual Design,https://oli.cmu.edu/courses/visual-design-open-free/,OLI,Online course,"Concepts and vocabulary—Students will be able to use the basic concepts and vocabulary of visual communication design to describe the design of documents.
Analysis—Students will be able to recognize and articulate good and problematic aspects of documents.
Production—Students will be able to use typographic variables appropriately to create effective documents.",,3 hours,Beginner,"Students interested in improving their visual design skills for creating effective documents, instructors who require students to create visual communication materials, students producing technical reports, proposals, or software documentation.",Interactive,,"August, 2016",No,No,"Design and deliver accurate, concise, well-structured technical presentations and documents that synthesize complex information and present it in a clear, logical format.",Ongoing study,"This course provides practical, hands-on training in designing clear and effective documents. By teaching principles of visual communication, typography, and structured document design, it equips students with skills to produce professional technical reports, proposals, and other written materials that are both visually appealing and easy to understand.",,
,,How to Use Storytelling in Academic Writing,https://carmattu.com/video-library/how-to-use-storytelling-in-academic-writing-the-roles-of-the-methods-and-results-sections/,CARMA,Lecture,"Implement Narrative Structure: Apply Freytag’s Pyramid (Exposition, Rising Action, Climax, Falling Action, and Dénouement) to both quantitative and qualitative article structures.
Construct Theoretical Characters: Define and organize theoretical constructs as Main Characters (IVs and DVs), Supporting Characters (moderators/mediators), and Ensemble Members (control variables).
Draft Effective Methods: Create a ""recipe"" for the study that justifies choices and addresses the ""Three-Horned Dilemma"" of precision, generalizability, and realism.
Ensure Scientific Validity: Provide the necessary information to satisfy four types of validity: Internal, External, Construct, and Statistical Conclusion.
Communicate Results Clearly: Restate and test hypotheses in a parallel structure while interpreting effect sizes and practical influence rather than just p-values.
Execute the ""Three Cs"": Achieve Completeness, Clarity, and Credibility in the writing of both the Methods and Results sections.
Manage Robustness and Post-Hoc Analysis: Identify potential threats to findings and explain surprise results or non-findings through structured analysis.",,84 minutes,Intermediate,Academics and researchers looking to improve their writing for publication (both quantitative and qualitative researchers),Interactive,,November 2021,Yes,Yes,"Design and deliver accurate, concise, well-structured technical presentations and documents that synthesize complex information and present it in a clear, logical format.",Ongoing study,"This course provides a creative and structured approach to academic writing by teaching students how to frame their research as a compelling narrative. Using techniques like Freytag’s Pyramid and relatable analogies, it helps clarify complex sections such as Methods and Results. The course emphasizes completeness, clarity, and credibility, equipping students to communicate their research effectively and increase its impact in their field.
",,
,,Storytelling Through Statistics,https://carmattu.com/video-library/storytelling-through-statistics/,CARMA,Lecture,"By the end of the course, students should be able to:

Maintain a coherent narrative throughout the Methods & Results section.

Write for multiple audiences, linking statistical results to the research story.

Create transparency in reporting methods and results.

Ensure correspondence between the hypotheses, analyses, and results.

Apply the four principles to improve readability, persuasiveness, and clarity in academic papers.",,42 minutes,Intermediate,Graduate students or early-career researchers,Interactive,,January 2018,Yes,Yes,"Design and deliver accurate, concise, well-structured technical presentations and documents that synthesize complex information and present it in a clear, logical format.",Ongoing study,"This course teaches students how to transform quantitative Methods & Results sections into a compelling, coherent story. By emphasizing narrative structure, audience awareness, transparency, and correspondence between hypotheses and results, it equips researchers to communicate their findings more clearly, persuasively, and professionally, increasing the impact of their academic work.",,
,,Evaluating Resources,,CMU Libraries,Online guide,,,,,,,,,,,,,,,
,,Finding Specific Journal Articles,,CMU Libraries,Online guide,,,,,,,,,,,,,,,
,,First-Year Writing General Guide,,CMU Libraries,Online guide,,,,,,,,,,,,,,,
,,How to Make a Science Research Poster,,CMU Libraries,Online guide,,,,,,,,,,,"Demonstrate proficiency in academic and professional language, ensuring clarity, precision, and coherence in both written and oral communication.",,,,
,,Communication & Presentation,https://canvas.cmu.edu/courses/48120/pages/communication-and-presentation?module_item_id=6213116,Core@CMU,Online module,"By the end of the course, students should be able to:

Produce communication that is compelling and credible for a target audience.

Organize content to be coherent and clear.

Evaluate and tailor communication to be audience-oriented.

Apply an iterative revision process to refine and improve messages across multiple formats.",,,Not Stated,"All students at CMU who want to improve writing, speaking, and visual communication skills",Interactive,,,,Yes,"Demonstrate proficiency in academic and professional language, ensuring clarity, precision, and coherence in both written and oral communication.",Pre-arrival,"This course emphasizes the foundational importance of communication across writing, speaking, and visual design. By teaching students to craft messages that are credible, coherent, and audience-focused, and by encouraging iterative refinement, it equips learners with essential skills to communicate effectively in academic, professional, and real-world contexts.",,
,,Choosing a Journal,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=58,SAGECampus,Online course,"This course will help you to:

Select the most appropriate journal for your research
Evaluate the different types of publication models in order to make informed decisions about where best to publish your article
Recognize the warning signs of predatory publishers
Recognize the different factors to consider when evaluating journals
Use these factors to compare and contrast journals to make your final journal selection",,90 minutes,Beginner,"Graduate students, early-career researchers, and academics preparing to publish research articles

Anyone who wants guidance on selecting journals, understanding publication models, and avoiding predatory publishers

Learners aiming to make informed decisions about where and how to publish their work",Interactive,July 2021,June 2024,Yes,Yes,"Locate relevant academic and professional information sources and evaluate their quality, reliability, and relevance.",Ongoing study,"This course provides practical guidance for researchers on choosing the right journal for their work. By teaching how to evaluate publication models, identify credible journals, and avoid predatory publishers, it equips learners with essential decision-making skills that increase the likelihood of successful and responsible academic publishing.",,
,,Conduct a Literature Review,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=65,SAGECampus,Online course,"This course will help you to:

Evaluate the purpose of a literature review
Develop and clarify your thinking, embed your ideas, and articulate your thoughts clearly
Identify the key preparation steps of a literature review and use each step to effectively articulate your research question and literature review plan
Identify the key considerations when evaluating journals, selecting the most appropriate journal for your literature review
Build a strong and convincing argument using suitable literature and data to develop and present your argument in your literature review
Write and structure a strong literature review, avoiding common pitfalls
Recognize what each section of the literature review requires and formulate your own with the help of examples and guidelines",,5 hours,Beginner,"Graduate students, early-career researchers, and academics preparing to publish research articles

Anyone who wants guidance on selecting journals, understanding publication models, and avoiding predatory publishers",Interactive,January 2022,May 2024,Yes,Yes,"Locate relevant academic and professional information sources and evaluate their quality, reliability, and relevance.",Ongoing study,"This course provides practical guidance for researchers on choosing the right journal for their work. By teaching how to evaluate publication models, identify credible journals, and avoid predatory publishers, it equips learners with essential decision-making skills that increase the likelihood of successful and responsible academic publishing.",,
,,Develop Your Search Strategy,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=70,SAGECampus,Online course,"By the end of the course, students should be able to:

Recognize the benefits of using online search strategies.

Compare the benefits and limitations of different search types, including Boolean searches.

Apply search strategies to address specific assignments or research questions.

Search online repositories, including Google Scholar and Creative Commons resources.

Identify relevant and useful search results.

Keep effective records of search results.",,3 hours,Beginner,"Graduate or undergraduate students preparing assignments, essays, or research projects

Researchers or learners who want to improve online search strategies

Anyone looking to develop skills in finding, evaluating, and managing online information efficiently",Interactive,January 2023,July 2025,Yes,Yes,"Locate relevant academic and professional information sources and evaluate their quality, reliability, and relevance.",Ongoing study,"This course provides practical training in developing effective online search strategies. By teaching Boolean logic, search techniques, evaluation of search results, and management of information, it equips learners with essential research skills that enhance their ability to locate high-quality academic and professional sources efficiently.",,
,,Fact-Checking Sources,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Gather Your Data Online,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Gathering Evidence for a Systematic Review,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Get Your Data from Social Media,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,How to Get Published,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,How to Write a Journal Article 1: Putting Your Article Together,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,How to Write a Journal Article Part 2,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Introduction to Journal Publishing: Why Publish?,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,"Peer Review, Feedback, and Decisions",,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Power Presenting: Crafting Visually Compelling Data Stories,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Present Your Research,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Publishing for Impact,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Reading Journal Articles,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,The Art of ChatGPT Interactions,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Write Better Data Stories,,SAGECampus,Online course,,,,,,,,,,,,,,,
,,Academic Publishing in STEM,,SASC Communication Support,Recorded workshop,,,,,,,,,,,,,,,
,,Communicating Data to Non-Experts,,SASC Communication Support,Recorded workshop,,,,,,,,,,,,,,,
,,Making the Case for Your Research,,SASC Communication Support,Recorded workshop,,,,,,,,,,,,,,,
,,Paraphrasing and Citation,,SASC Communication Support,Recorded workshop,,,,,,,,,,,,,,,
,,Strategies for Concise Writing,,SASC Communication Support,Recorded workshop,,,,,,,,,,,,,,,
,,Writing a Literature Review,,SASC Communication Support,Recorded workshop,,,,,,,,,,,,,,,
,,Basic Structure of an Email,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Creating Concise Sentences,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Data Visualization,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Data Visualization - Tables and Charts,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Designing Effective Power Points,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
,,Diversity Statements,,SASC Communication Support,Short video,,,,,,,,,,,,,,,
